FILE,SIZE,READ_T,TO_SHP_T
Screenlog_BPT127_2C.XLSB, 10, 20.5, 105.68
Screenlog_BPT127_3C.XLSB, 1.94, 2.92, 14.55
Screenlog_BPT127_3C.XLSB, 1.94, 3.07, 
Screenlog_Samicor_ML103A.XLSB, 3.46, 5.41, 27.41
Screenlog_Samicor_ML103A.XLSB, 3.46, 6.05, 28
Screenlog_10000_dummy.XLSB, 4.95, 9.79, 54.64
Screenlog_10000_dummy.XLSB, 4.95, 9.63, 48.63
Screenlog_BPT127_3C.XLSB, 1.41, 2.17, 10
Screenlog_BPT127_3C.XLSB, 1.41, 2.35, 10.07
Screenlog_BPT127_2C.XLSB, 10.0, 20.58, 97.88
Screenlog_Samicor_ML36E.XLSB, 0.74, 1.56, 5.83
Screenlog_BPT127_2C.XLSB, 10.0, 20.56, 100.83
Screenlog_Samicor_ML36E.XLSB, 0.74, 1.23, 5.87
Screenlog_Samicor_ML36E.XLSB, 0.74, 1.28, 6.42
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.19, 25.84
Screenlog_BPT127_3C.XLSB, 1.94, 2.91, 
Screenlog_BPT127_3C.XLSB, 1.94, 3.06, 13.85
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.55, 26.1
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.39, 25.65
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.31, 28.31
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.56, 26.08
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.16, 26.57
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.43, 26.27
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.12, 25.44
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.88, 26.04
Screenlog_Samicor_ML103A.XLSB, 3.47, 6.13, 26.76
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.99, 28.3
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.27, 26.44
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.29, 26.2
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.69, 26.56
Screenlog_BPT127_3C.XLSB, 1.94, 2.81, 14.71
Screenlog_BPT127_3C.XLSB, 1.94, 2.95, 14.93
Screenlog_Samicor_ML103A.XLSB, 3.47, 5.54, 26.69
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.26, 26.54
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.29, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.38, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.84, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.48, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.6, 
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.74, 27.66
Screenlog_Samicor_ML103A.XLSB, 3.48, 5.26, 28.54
Screenlog_Samicor_ML103A.XLSB, 3.48, 
Screenlog_Samicor_ML103A.XLSB, 3.49, 5.28, 
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.44, 
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.65, 26.73
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.8, 26.31
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.89, 26.3
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.62, 25.84
Screenlog_Samicor_ML103A.XLSB, 3.5, 5.49, 25.61
Screenlog_Samicor_ML103A.XLSB, 3.5, 6.04, 26.14
Screenlog_Samicor_ML103A.XLSB, 3.51, 5.28, 
Screenlog_Samicor_ML103A.XLSB, 3.54, 5.22, 27.18